arm,model,exam,battery,qid,pass,n,pass_rate
cbm,claude-fable-5,HumanExam,memos-hard,h01,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h02,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h03,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h04,2,5,0.400
cbm,claude-fable-5,HumanExam,memos-hard,h05,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h06,4,5,0.800
cbm,claude-fable-5,HumanExam,memos-hard,h07,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h08,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h09,0,5,0.000
cbm,claude-fable-5,HumanExam,memos-hard,h10,1,5,0.200
cbm,claude-fable-5,HumanExam,memos-hard,h11,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h12,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h13,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,h14,4,5,0.800
cbm,claude-fable-5,HumanExam,memos-hard,h15,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,r01,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,r02,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,r03,4,5,0.800
cbm,claude-fable-5,HumanExam,memos-hard,r04,5,5,1.000
cbm,claude-fable-5,HumanExam,memos-hard,r05,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h01,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h02,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h03,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h04,3,5,0.600
cbm,claude-fable-5,MultiTurnExam,memos-hard,h05,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h06,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h07,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h08,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h09,0,5,0.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h10,2,5,0.400
cbm,claude-fable-5,MultiTurnExam,memos-hard,h11,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h12,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h13,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h14,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,h15,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,r01,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,r02,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,r03,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,r04,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos-hard,r05,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos,q01,5,5,1.000
cbm,claude-fable-5,MultiTurnExam,memos,q02,5,5,1.000
